Title,Genre,Premiere,Runtime,IMDB Score,Language
Enter the Anime,Documentary,"August 5, 2019",58,2.5,English/Japanese
Dark Forces,Thriller,"August 21, 2020",81,2.6,Spanish
The App,Science fiction/Drama,"December 26, 2019",79,2.6,Italian
The Open House,Horror thriller,"January 19, 2018",94,3.2,English
Kaali Khuhi,Mystery,"October 30, 2020",90,3.4,Hindi
Drive,Action,"November 1, 2019",147,3.5,Hindi
Leyla Everlasting,Comedy,"December 4, 2020",112,3.7,Turkish
The Last Days of American Crime,Heist film/Thriller,"June 5, 2020",149,3.7,English
Paradox,Musical/Western/Fantasy,"March 23, 2018",73,3.9,English
Sardar Ka Grandson,Comedy,"May 18, 2021",139,4.1,Hindi
Searching for Sheela,Documentary,"April 22, 2021",58,4.1,English
The Call,Drama,"November 27, 2020",112,4.1,Korean
Whipped,Romantic comedy,"September 18, 2020",97,4.1,Indonesian
All Because of You,Action comedy,"October 1, 2020",101,4.2,Malay
Mercy,Thriller,"November 22, 2016",90,4.2,English
After the Raid,Documentary,"December 19, 2019",25,4.3,Spanish
Ghost Stories,Horror anthology,"January 1, 2020",144,4.3,Hindi
The Last Thing He Wanted,Political thriller,"February 21, 2020",115,4.3,English
What Happened to Mr. Cha?,Comedy,"January 1, 2021",102,4.3,Korean
Death Note,Horror thriller,"August 25, 2017",100,4.4,English
"Hello Privilege. It's Me, Chelsea",Documentary,"September 13, 2019",64,4.4,English
Secret Obsession,Thriller,"July 18, 2019",97,4.4,English
Sextuplets,Comedy,"August 16, 2019",99,4.4,English
The Girl on the Train,Thriller,"February 26, 2021",120,4.4,Hindi
Thunder Force,Superhero-Comedy,"April 9, 2021",105,4.4,English
Fatal Affair,Thriller,"July 16, 2020",89,4.5,English
Just Say Yes,Romantic comedy,"April 2, 2021",97,4.5,Dutch
Seriously Single,Comedy,"July 31, 2020",107,4.5,English
The Misadventures of Hedi and Cokeman,Comedy,"February 10, 2021",99,4.5,French
5 Star Christmas,Comedy,"December 7, 2018",95,4.6,Italian
After Maria,Documentary,"May 24, 2019",37,4.6,English/Spanish
I Am the Pretty Thing That Lives in the House,Horror,"October 28, 2016",89,4.6,English
Paris Is Us,Romance drama,"February 22, 2019",83,4.6,French
Porta dos Fundos: The First Temptation of Christ,Comedy,"December 3, 2019",46,4.6,Portuguese
Rattlesnake,Horror,"October 25, 2019",85,4.6,English
The Players,Comedy,"July 15, 2020",88,4.6,Italian
We Are One,Documentary,"July 14, 2020",86,4.6,French
Finding Agnes,Drama,"November 30, 2020",105,4.7,Filipino
IO,Science fiction/Drama,"January 18, 2019",95,4.7,English
Sentinelle,Action,"March 5, 2021",80,4.7,French
Sol Levante,Anime / Short,"April 2, 2020",4,4.7,English
The Binding,Drama,"October 2, 2020",93,4.7,Italian
We Can Be Heroes,Superhero,"December 25, 2020",100,4.7,English
Christmas Crossfire,Thriller,"December 4, 2020",106,4.8,German
Coin Heist,Heist,"January 6, 2017",97,4.8,English
Mrs. Serial Killer,Thriller,"May 1, 2020",106,4.8,Hindi
Nobody Sleeps in the Woods Tonight,Horror,"October 28, 2020",103,4.8,Polish
Take the 10,Comedy,"January 20, 2017",80,4.8,English
The Main Event,Comedy,"April 10, 2020",101,4.8,English
The Ridiculous 6,Western,"December 11, 2015",119,4.8,English
Earth and Blood,Action,"April 17, 2020",80,4.9,French
Fearless,Animation/Superhero,"August 14, 2020",89,4.9,English
Holiday Rush,Family film,"November 28, 2019",94,4.9,English
The Day of the Lord,Drama,"October 30, 2020",93,4.9,Spanish
Airplane Mode,Comedy,"January 23, 2020",96,5,Portuguese
How It Ends,Action-thriller,"July 13, 2018",113,5,English
Love Like the Falling Rain,Drama,"October 15, 2020",86,5,Indonesian
Rebirth,Thriller,"July 15, 2016",100,5,English
Squared Love,Romantic comedy,"February 11, 2021",102,5,Polish
Cadaver,Horror,"October 22, 2020",86,5.1,Norwegian
Clinical,Thriller,"January 13, 2017",104,5.1,English
Coffee & Kareem,Action comedy,"April 3, 2020",88,5.1,English
Dude,Teen comedy-drama,"April 20, 2018",97,5.1,English
Geez & Ann,Romantic drama,"February 25, 2021",105,5.1,Indonesian
The Larva Island Movie,Animation,"July 23, 2020",90,5.1,English
#REALITYHIGH,Comedy,"September 8, 2017",99,5.2,English
American Factory: A Conversation with the Obamas ,Aftershow / Interview,"August 21, 2019",10,5.2,English
Desperados,Romantic comedy,"July 3, 2020",106,5.2,English
Dolly Parton's Christmas on the Square,Christmas musical,"November 22, 2020",98,5.2,English
Father of the Year,Comedy,"July 20, 2018",94,5.2,English
Firebrand,Drama,"February 22, 2019",112,5.2,Marathi
Ghost Lab,Horror,"May 26, 2021",117,5.2,Thai
Girlfriend's Day,Comedy,"February 14, 2017",70,5.2,English
Handsome: A Netflix Mystery Movie,Comedy,"May 5, 2017",81,5.2,English
Hubie Halloween,Comedy,"October 7, 2020",103,5.2,English
Ibiza,Comedy,"May 25, 2018",94,5.2,English
Rim of the World,Science fiction adventure,"May 24, 2019",98,5.2,English
Sandy Wexler,Comedy,"April 14, 2017",131,5.2,English
See You Yesterday,Science fiction,"May 17, 2019",87,5.2,English
Still Laugh-In: The Stars Celebrate,Variety show,"May 14, 2019",60,5.2,English
"Strip Down, Rise Up",Documentary,"February 5, 2021",112,5.2,English
Tall Girl,Comedy-drama,"September 13, 2019",102,5.2,English
The Beast,Drama,"November 27, 2020",99,5.2,Italian
The Week Of,Comedy,"April 27, 2018",116,5.2,English
A Christmas Prince: The Royal Wedding,Romantic comedy,"November 30, 2018",92,5.3,English
Back to School,Comedy,"August 30, 2019",83,5.3,French
Dangerous Lies,Thriller,"April 30, 2020",97,5.3,English
Gunjan Saxena: The Kargil Girl,Drama,"August 12, 2020",112,5.3,Hindi
Intuition,Thriller,"May 28, 2020",116,5.3,Spanish
